bien,gia_tri,tan_suat,ty_le
Class Name,Knits,4835,0.2060515661623695
Class Name,Blouses,3093,0.1318133390155551
Class Name,Sweaters,1428,0.060856594928617086
Class Name,Pants,1388,0.05915192840400597
Class Name,Jeans,1146,0.04883869593010867
Class Name,Fine gauge,1099,0.046835712763690605
Class Name,Skirts,945,0.040272746643937776
Class Name,Jackets,704,0.030002130833155765
Class Name,Lounge,691,0.02944811421265715
Class Name,Swim,350,0.014915832090347326
Class Name,Outerwear,328,0.013978265501811209
Class Name,Shorts,317,0.013509482207543149
Class Name,Sleep,228,0.009716599190283401
Class Name,Legwear,165,0.007031749414020882
Class Name,Intimates,154,0.006562966119752823
Class Name,Layering,146,0.0062220328148305986
Class Name,Trend,119,0.0050713829107180905
Class Name,Unknown,14,0.0005966332836138931
Class Name,Casual bottoms,2,8.523332623055615e-05
Recommended Label,Recommended,19293,0.8222032814830599
Recommended Label,Not Recommended,4172,0.17779671851694012
Sentiment Label,Positive,18187,0.7750692520775623
Sentiment Label,Neutral,2871,0.12235243980396335
Sentiment Label,Negative,2407,0.10257830811847432
Age Group,36-45,7382,0.3145962071169827
Age Group,26-35,5746,0.24487534626038782
Age Group,46-55,4907,0.2091199659066695
Age Group,56-65,3049,0.12993820583848284
Age Group,<=25,1223,0.05212017898998508
Age Group,>65,1158,0.04935009588749201
Recommended IND,1,19293,0.8222032814830599
Recommended IND,0,4172,0.17779671851694012
Rating,5,13111,0.5587470701044108
Rating,4,5076,0.2163221819731515
Rating,3,2871,0.12235243980396335
Rating,2,1565,0.06669507777541019
Rating,1,842,0.035883230343064135
Clothing ID,1078,1021,0.043511613040698914
Clothing ID,862,802,0.034178563818453016
Clothing ID,1094,753,0.03209034732580439
Clothing ID,1081,582,0.024802897933091837
Clothing ID,872,544,0.023183464734711272
Clothing ID,829,526,0.022416364798636266
Clothing ID,1110,480,0.020455998295333476
Clothing ID,868,429,0.018282548476454295
Clothing ID,895,403,0.017174515235457065
Clothing ID,936,358,0.01525676539526955
Clothing ID,867,350,0.014915832090347326
Clothing ID,850,337,0.01436181546984871
Clothing ID,1095,327,0.01393564883869593
Clothing ID,863,306,0.01304069891327509
Clothing ID,1077,297,0.012657148945237588
Clothing ID,1059,294,0.012529298955891754
Clothing ID,1086,291,0.012401448966545919
Clothing ID,1080,289,0.012316215640315363
Clothing ID,860,288,0.012273598977200085
Clothing ID,1083,249,0.010611549115704241
Has Title,1,19676,0.8385254634562114
Has Title,0,3789,0.16147453654378863
Has Review Text,1,22640,0.9648412529298956
Has Review Text,0,825,0.03515874707010441
