date,total_sales,avg_sales,total_onpromotion,dcoilwtico,is_holiday,total_transactions,year,month,dayofweek,is_weekend
2013-01-26,413799.7679753,232.21086867300787,0,,0,88022.0,2013,1,5,1
2013-01-27,430411.991233,241.53310394668912,0,,0,83304.0,2013,1,6,1
2013-01-28,285460.169953,160.19089222951737,0,95.95,0,70389.0,2013,1,0,0
2013-01-29,264488.81807649997,148.42245683305273,0,97.62,0,68435.0,2013,1,1,0
2013-01-30,281061.127052,157.72229351964086,0,97.98,0,70888.0,2013,1,2,0
2013-01-31,271254.217996,152.21897755106622,0,97.65,0,70268.0,2013,1,3,0
2013-02-01,369402.055266,207.2963273097643,0,97.46,0,78302.0,2013,2,4,0
2013-02-02,518887.462705,291.18263900392816,0,,0,97347.0,2013,2,5,1
2013-02-03,486336.82018,272.91628517396185,0,,0,87026.0,2013,2,6,1
2013-02-04,344308.715017,193.21476712514027,0,96.21,0,75330.0,2013,2,0,0
2013-02-05,321245.83913,180.2726369977553,0,96.68,0,76206.0,2013,2,1,0
2013-02-06,321538.177149,180.436687513468,0,96.44,0,75291.0,2013,2,2,0
2013-02-07,290807.530973,163.19165598933782,0,95.84,0,72789.0,2013,2,3,0
2013-02-08,347441.789912,194.9729460785634,0,95.71,0,79726.0,2013,2,4,0
2013-02-09,416176.2790747,233.54448881857465,0,,0,90342.0,2013,2,5,1
2013-02-10,300951.328993,168.88402300392815,0,,0,69963.0,2013,2,6,1
2013-02-11,278627.588926,156.35667167564534,0,97.01,1,67222.0,2013,2,0,0
2013-02-12,308800.7909121,173.28888378905725,0,97.48,1,71808.0,2013,2,1,0
2013-02-13,319597.929962,179.3478843782267,0,97.03,0,80098.0,2013,2,2,0
2013-02-14,308164.016957,172.93154711391696,0,97.3,0,88681.0,2013,2,3,0
2013-02-15,320168.883912,179.668285023569,0,95.95,0,75789.0,2013,2,4,0
2013-02-16,485660.494008,272.5367530909091,0,,0,92816.0,2013,2,5,1
2013-02-17,399588.910014,224.2362009057239,0,,0,77449.0,2013,2,6,1
2013-02-18,350745.573191,196.8269209826038,0,95.95,0,76437.0,2013,2,0,0
2013-02-19,293637.801951,164.7799113080808,0,96.69,0,70645.0,2013,2,1,0
2013-02-20,313803.162034,176.0960505241302,0,94.92,0,73812.0,2013,2,2,0
2013-02-21,267711.1090155,150.23070090656566,0,92.79,0,68246.0,2013,2,3,0
2013-02-22,285679.869131,160.31418020819305,0,93.12,0,70914.0,2013,2,4,0
2013-02-23,412897.349113,231.70446078170593,0,,0,88390.0,2013,2,5,1
2013-02-24,452726.126103,254.05506515319865,0,,0,84125.0,2013,2,6,1
2013-02-25,307110.875933,172.34055888496073,0,92.74,0,72167.0,2013,2,0,0
2013-02-26,270425.0070675,151.7536515530303,0,92.63,0,68706.0,2013,2,1,0
2013-02-27,288401.998919,161.84175023512904,0,92.84,0,70170.0,2013,2,2,0
2013-02-28,278116.291888,156.0697485342312,0,92.03,0,69818.0,2013,2,3,0
2013-03-01,378898.165064,212.62523292031426,0,90.71,0,79524.0,2013,3,4,0
2013-03-02,547857.205258,307.43950912345673,0,,1,98616.0,2013,3,5,1
2013-03-03,559820.580027,314.1529629781145,0,,0,92716.0,2013,3,6,1
2013-03-04,383647.679097,215.29050454377105,0,90.13,0,79078.0,2013,3,0,0
2013-03-05,332189.993189,186.41413759203144,0,90.88,0,75134.0,2013,3,1,0
2013-03-06,335726.580968,188.39875475196408,0,90.47,0,76519.0,2013,3,2,0
2013-03-07,293099.52701,164.4778490516274,0,91.53,0,73910.0,2013,3,3,0
2013-03-08,316600.679967,177.6659259074074,0,92.01,0,78231.0,2013,3,4,0
2013-03-09,453259.496866,254.35437534567902,0,,0,92462.0,2013,3,5,1
2013-03-10,461859.756153,259.1805590084175,0,,0,86322.0,2013,3,6,1
2013-03-11,318379.133021,178.6639354775533,0,92.07,0,75161.0,2013,3,0,0
2013-03-12,271823.37801,152.53837149831648,0,92.44,0,69346.0,2013,3,1,0
2013-03-13,287869.663972,161.54302130864198,0,92.47,0,72010.0,2013,3,2,0
2013-03-14,247541.420096,138.9121324893378,0,93.03,0,67393.0,2013,3,3,0
2013-03-15,315878.090213,177.26043221829406,0,93.49,0,75533.0,2013,3,4,0
2013-03-16,482233.433961,270.61359930471383,0,,0,91900.0,2013,3,5,1
2013-03-17,513439.584913,288.1254685258137,0,,0,89346.0,2013,3,6,1
2013-03-18,330283.80303,185.34444614478116,0,93.71,0,74418.0,2013,3,0,0
2013-03-19,294020.245897,164.9945263170595,0,92.44,0,71841.0,2013,3,1,0
2013-03-20,321207.006946,180.25084564870932,0,93.21,0,74145.0,2013,3,2,0
2013-03-21,269130.127953,151.02700782996635,0,92.46,0,69157.0,2013,3,3,0
2013-03-22,304100.453969,170.65120873681258,0,93.41,0,71990.0,2013,3,4,0
2013-03-23,453192.003086,254.31650004826037,0,,0,91923.0,2013,3,5,1
2013-03-24,449794.636951,252.41000951234568,0,,0,83439.0,2013,3,6,1
2013-03-25,317559.6099585,178.20404599242426,0,94.55,0,72992.0,2013,3,0,0
2013-03-26,275818.2359,154.78015482603817,0,95.99,0,68469.0,2013,3,1,0
2013-03-27,313691.148998,176.03319247923682,0,96.53,0,74049.0,2013,3,2,0
2013-03-28,339293.269022,190.40026319977554,0,97.24,0,82104.0,2013,3,3,0
2013-03-29,345513.132,193.89064646464647,0,97.24,0,77781.0,2013,3,4,0
2013-03-30,452661.356036,254.01871831425365,0,,0,90611.0,2013,3,5,1
2013-03-31,462107.639956,259.31966327497196,0,,0,82563.0,2013,3,6,1
2013-04-01,428816.447912,240.63773732435465,0,97.1,1,81678.0,2013,4,0,0
2013-04-02,377732.827961,211.97128392873174,0,97.23,0,77165.0,2013,4,1,0
2013-04-03,373731.0758793,209.72563180656567,0,95.02,0,78534.0,2013,4,2,0
2013-04-04,308738.385963,173.25386417676768,0,93.26,0,72217.0,2013,4,3,0
2013-04-05,336394.782031,188.77372729012347,0,92.76,0,74928.0,2013,4,4,0
2013-04-06,509424.214023,285.87217397474745,0,,0,94844.0,2013,4,5,1
2013-04-07,519048.376884,291.2729387676768,0,,0,89183.0,2013,4,6,1
2013-04-08,346649.815943,194.5285162418631,0,93.36,0,75161.0,2013,4,0,0
2013-04-09,306335.8019617,171.9056127731201,0,94.18,0,71416.0,2013,4,1,0
2013-04-10,312846.374941,175.55913296352415,0,94.59,0,73989.0,2013,4,2,0
2013-04-11,303223.41301,170.15904209315377,0,93.44,0,71907.0,2013,4,3,0
2013-04-12,314394.967035,176.42815209595958,0,91.23,1,75403.0,2013,4,4,0
2013-04-13,453442.497048,254.45706905050505,0,,0,92166.0,2013,4,5,1
2013-04-14,478417.148813,268.472025147587,0,,1,86803.0,2013,4,6,1
2013-04-15,338712.458055,190.0743311195286,0,88.75,0,76251.0,2013,4,0,0
2013-04-16,333431.880049,187.11104379854098,0,88.73,0,74187.0,2013,4,1,0
2013-04-17,334990.518942,187.98570086531987,0,86.65,0,74529.0,2013,4,2,0
2013-04-18,281924.509951,158.20679570763187,0,87.83,0,68343.0,2013,4,3,0
2013-04-19,311588.70494,174.8533697755331,0,88.04,0,73119.0,2013,4,4,0
2013-04-20,459884.838043,258.07229968742985,0,,0,92014.0,2013,4,5,1
2013-04-21,485721.032087,272.5707250768799,0,,1,87401.0,2013,4,6,1
2013-04-22,328886.320986,184.560225020202,0,88.81,0,75157.0,2013,4,0,0
2013-04-23,302097.8329435,169.52740344753087,0,89.21,0,71657.0,2013,4,1,0
2013-04-24,310555.184925,174.27339221380473,0,91.07,0,73003.0,2013,4,2,0
2013-04-25,268790.618996,150.83648652974185,0,93.27,0,68917.0,2013,4,3,0
2013-04-26,304413.556952,170.8269118698092,0,92.63,0,72813.0,2013,4,4,0
2013-04-27,446665.337895,250.65394943602695,0,,0,89825.0,2013,4,5,1
2013-04-28,477623.4729303,268.0266402526936,0,,0,86773.0,2013,4,6,1
2013-04-29,328795.874018,184.50946914590347,0,94.09,1,72009.0,2013,4,0,0
2013-04-30,310186.466894,174.06647973849607,0,93.22,0,73513.0,2013,4,1,0
2013-05-01,507974.636889,285.0587187929293,0,90.74,1,90548.0,2013,5,2,0
2013-05-02,348709.460063,195.68432102300784,0,93.7,0,73639.0,2013,5,3,0
2013-05-03,374291.2510323,210.0399837442761,0,95.25,0,76685.0,2013,5,4,0
2013-05-04,520339.51596499997,291.9974837065095,0,,0,96689.0,2013,5,5,1
2013-05-05,580268.550981,325.6276941531986,0,,0,95212.0,2013,5,6,1
2013-05-06,369869.383046,207.55857634455666,0,95.8,0,76383.0,2013,5,0,0
2013-05-07,317292.964148,178.05441310213243,0,95.28,0,72563.0,2013,5,1,0
2013-05-08,332477.410968,186.57542703030305,0,96.24,0,74802.0,2013,5,2,0
2013-05-09,305868.0570225,171.6431296422559,0,96.09,0,75025.0,2013,5,3,0
2013-05-10,335937.441949,188.5170830241302,0,95.81,0,80282.0,2013,5,4,0
2013-05-11,512090.58108,287.36845178451176,0,,1,111484.0,2013,5,5,1
2013-05-12,387860.5050145,217.6546043852413,0,,1,89790.0,2013,5,6,1
2013-05-13,350598.06187,196.74414246352413,0,94.76,0,75625.0,2013,5,0,0
2013-05-14,308469.313119,173.10286931481482,0,93.96,0,71589.0,2013,5,1,0
2013-05-15,329113.560081,184.68774415319865,0,93.95,0,74401.0,2013,5,2,0
2013-05-16,307556.946937,172.59087931369245,0,94.85,0,71287.0,2013,5,3,0
2013-05-17,330004.241998,185.18756565544334,0,95.72,0,74705.0,2013,5,4,0
2013-05-18,480969.558942,269.9043540639731,0,,0,91973.0,2013,5,5,1
2013-05-19,518153.554009,290.77079349551065,0,,0,89031.0,2013,5,6,1
2013-05-20,341787.214991,191.7997839455668,0,96.29,0,74613.0,2013,5,0,0
2013-05-21,307178.399952,172.37845115151515,0,95.55,0,70601.0,2013,5,1,0
2013-05-22,301785.4831075,169.35212295594837,0,93.98,0,71763.0,2013,5,2,0
2013-05-23,289261.058026,162.32382605274972,0,94.12,0,70843.0,2013,5,3,0
2013-05-24,398389.241982,223.56298652188553,0,93.84,1,78945.0,2013,5,4,0
2013-05-25,417930.141993,234.5286992104377,0,,0,85230.0,2013,5,5,1
2013-05-26,450631.400068,252.87957355106622,0,,0,81869.0,2013,5,6,1
2013-05-27,321630.8309235,180.48868177525253,0,93.84,0,72144.0,2013,5,0,0
2013-05-28,307329.1680565,172.46305727076322,0,94.65,0,71801.0,2013,5,1,0
2013-05-29,309333.380899,173.58775583557798,0,93.13,0,73970.0,2013,5,2,0
2013-05-30,304344.849939,170.78835574579122,0,93.57,0,77052.0,2013,5,3,0
2013-05-31,330257.841975,185.32987765151515,0,91.93,0,76921.0,2013,5,4,0
2013-06-01,566901.814988,318.1267199708193,0,,0,101740.0,2013,6,5,1
2013-06-02,637698.494958,357.85549660942763,0,,0,98018.0,2013,6,6,1
2013-06-03,426332.097995,239.24360156846242,0,93.41,0,80648.0,2013,6,0,0
2013-06-04,369705.160085,207.46641980078562,0,93.36,0,76213.0,2013,6,1,0
2013-06-05,361791.080915,203.02529793209877,0,93.66,0,77605.0,2013,6,2,0
2013-06-06,317496.765891,178.16877996127945,0,94.71,0,72282.0,2013,6,3,0
2013-06-07,357673.087977,200.71441525084174,0,96.11,0,79014.0,2013,6,4,0
2013-06-08,466292.699096,261.66818131088667,0,,0,89783.0,2013,6,5,1
2013-06-09,526804.730256,295.6255500875421,0,,0,89751.0,2013,6,6,1
2013-06-10,349754.291978,196.2706464523008,0,95.82,0,74546.0,2013,6,0,0
2013-06-11,283858.2159925,159.2919281663861,0,95.5,0,68636.0,2013,6,1,0
2013-06-12,320173.5779987,179.67091919118968,0,95.98,0,73386.0,2013,6,2,0
2013-06-13,282886.9200452,158.74686871223344,0,96.66,0,69703.0,2013,6,3,0
2013-06-14,326956.74210719997,183.47740858989897,0,97.83,0,76434.0,2013,6,4,0
2013-06-15,505950.6668701,283.92293314820427,0,,0,102541.0,2013,6,5,1
2013-06-16,435894.082881,244.6094741195286,0,,0,87839.0,2013,6,6,1
2013-06-17,370944.271024,208.16176825140292,0,97.86,0,76236.0,2013,6,0,0
2013-06-18,320885.3399215,180.07033665628506,0,98.46,0,73179.0,2013,6,1,0
2013-06-19,319235.25797700003,179.14436474579125,0,98.24,0,68613.0,2013,6,2,0
2013-06-20,293877.944015,164.914671164422,0,94.89,0,69984.0,2013,6,3,0
2013-06-21,319722.6870265,179.41789395426488,0,93.81,0,73717.0,2013,6,4,0
2013-06-22,446347.312096,250.47548378002244,0,,0,88681.0,2013,6,5,1
2013-06-23,504964.845142,283.369722301908,0,,1,86152.0,2013,6,6,1
2013-06-24,336631.9640383,188.90682605965208,0,95.07,0,73403.0,2013,6,0,0
2013-06-25,305119.530064,171.22308084399552,0,95.25,1,70549.0,2013,6,1,0
2013-06-26,301847.2489636,169.3867839301908,0,95.47,0,71009.0,2013,6,2,0
2013-06-27,266525.458966,149.56535295510662,0,97.0,0,67340.0,2013,6,3,0
2013-06-28,324210.971803,181.93657228002246,0,96.36,0,74172.0,2013,6,4,0
2013-06-29,509379.108146,285.84686203479237,0,,0,93531.0,2013,6,5,1
2013-06-30,533481.693027,299.37244277609426,0,,0,87501.0,2013,6,6,1
2013-07-01,441758.3880965,247.9003300204826,0,97.94,0,81850.0,2013,7,0,0
2013-07-02,390958.38408,219.3930325925926,0,99.65,0,79187.0,2013,7,1,0
2013-07-03,374551.917949,210.18626147530867,0,101.92,1,78437.0,2013,7,2,0
2013-07-04,327020.179028,183.51300731088662,0,101.92,0,75664.0,2013,7,3,0
2013-07-05,351401.500074,197.19500565319865,0,103.09,0,77710.0,2013,7,4,0
2013-07-06,479514.493924,269.0878192615039,0,,0,92132.0,2013,7,5,1
2013-07-07,500606.073078,280.92372226599326,0,,0,87219.0,2013,7,6,1
2013-07-08,365452.995017,205.08024411728397,0,103.03,0,77464.0,2013,7,0,0
2013-07-09,317279.1449993,178.04665824876545,0,103.46,0,73041.0,2013,7,1,0
2013-07-10,314134.886071,176.28220318237936,0,106.41,0,73319.0,2013,7,2,0
2013-07-11,281750.931023,158.10938890179574,0,104.77,0,68662.0,2013,7,3,0
2013-07-12,308786.438133,173.28082947979797,0,105.85,0,73261.0,2013,7,4,0
2013-07-13,432569.1022205,242.74360393967453,0,,0,88063.0,2013,7,5,1
2013-07-14,438722.417857,246.19664301739618,0,,0,81622.0,2013,7,6,1
2013-07-15,348803.0469486,195.73683891616162,0,106.2,0,76717.0,2013,7,0,0
2013-07-16,335516.229006,188.2807121245791,0,105.88,0,75755.0,2013,7,1,0
2013-07-17,324313.8180255,181.99428620959594,0,106.39,0,73859.0,2013,7,2,0
2013-07-18,287074.8739522,161.09701119652075,0,107.94,0,69399.0,2013,7,3,0
2013-07-19,313332.555049,175.83196130695848,0,108.0,0,73231.0,2013,7,4,0
2013-07-20,435497.731013,244.38705444051627,0,,0,87653.0,2013,7,5,1
2013-07-21,437952.624049,245.7646599601571,0,,0,80799.0,2013,7,6,1
2013-07-22,342802.29905,192.36941585297416,0,106.61,0,75771.0,2013,7,0,0
2013-07-23,316257.463107,177.47332385353533,0,107.13,1,73650.0,2013,7,1,0
2013-07-24,309243.7899995,173.53748035886642,0,105.41,1,72876.0,2013,7,2,0
2013-07-25,298074.2249247,167.26948648973064,0,105.47,1,70760.0,2013,7,3,0
2013-07-26,318745.692921,178.86963688047138,0,104.76,0,74270.0,2013,7,4,0
2013-07-27,423890.5020012,237.87345791313132,0,,0,86632.0,2013,7,5,1
2013-07-28,433358.6520873,243.18667344966332,0,,0,79729.0,2013,7,6,1
2013-07-29,331493.2850525,186.0231678184624,0,104.61,0,72911.0,2013,7,0,0
2013-07-30,318553.989932,178.7620594455668,0,103.14,0,72512.0,2013,7,1,0
2013-07-31,357982.979012,200.8883159438833,0,105.1,0,77813.0,2013,7,2,0
2013-08-01,397555.3181021,223.09501576997755,0,107.93,0,78740.0,2013,8,3,0
2013-08-02,393831.120007,221.005117849046,0,106.94,0,79127.0,2013,8,4,0
2013-08-03,516956.846013,290.0992401868687,0,,0,93926.0,2013,8,5,1
2013-08-04,514267.27594,288.5899416049383,0,,0,86805.0,2013,8,6,1
2013-08-05,407033.810946,228.41403532323233,0,106.61,1,82080.0,2013,8,0,0
2013-08-06,357263.854086,200.4847666026936,0,105.32,0,77927.0,2013,8,1,0
2013-08-07,351302.132003,197.1392435482604,0,104.41,0,77426.0,2013,8,2,0
2013-08-08,310953.0239315,174.4966464262065,0,103.45,0,72592.0,2013,8,3,0
2013-08-09,337521.667868,189.406098691358,0,106.04,0,77361.0,2013,8,4,0
2013-08-10,434184.94409,243.65036144219977,0,,1,85444.0,2013,8,5,1
2013-08-11,434720.3230013,243.95079854169472,0,,0,80268.0,2013,8,6,1
2013-08-12,349539.224033,196.14995736980921,0,106.19,0,76317.0,2013,8,0,0
2013-08-13,317103.331061,177.94799722839505,0,106.78,0,74660.0,2013,8,1,0
2013-08-14,324377.386893,182.02995897474747,0,106.89,0,74211.0,2013,8,2,0
2013-08-15,311043.17291,174.54723507856343,0,107.43,1,74220.0,2013,8,3,0
2013-08-16,364487.3218839,204.53834000218853,0,107.58,0,79668.0,2013,8,4,0
2013-08-17,448835.3109167,251.87166718108867,0,,0,88888.0,2013,8,5,1
2013-08-18,464053.7730675,260.4117693981481,0,,0,83247.0,2013,8,6,1
2013-08-19,362085.52696,203.19053140291805,0,107.14,0,77100.0,2013,8,0,0
2013-08-20,343046.11398,192.5062368013468,0,104.9,0,76629.0,2013,8,1,0
2013-08-21,335724.643932,188.39766775084175,0,103.93,0,76613.0,2013,8,2,0
2013-08-22,306473.26098,171.98275026936028,0,104.93,0,71220.0,2013,8,3,0
2013-08-23,331906.369098,186.25497704713806,0,106.48,0,75844.0,2013,8,4,0
2013-08-24,420576.154994,236.01355499102132,0,,1,87502.0,2013,8,5,1
2013-08-25,443694.093754,248.98658459820425,0,,0,82558.0,2013,8,6,1
2013-08-26,347159.6410143,194.8146133638047,0,105.88,0,76173.0,2013,8,0,0
2013-08-27,319688.2190185,179.39855163776656,0,109.11,0,73568.0,2013,8,1,0
2013-08-28,319322.060993,179.19307575364758,0,110.17,0,74979.0,2013,8,2,0
2013-08-29,294518.685943,165.2742345359147,0,108.51,0,71897.0,2013,8,3,0
2013-08-30,354932.930947,199.17672892648707,0,107.98,0,77749.0,2013,8,4,0
2013-08-31,523631.3811059,293.8447705420314,0,,0,96400.0,2013,8,5,1
2013-09-01,640406.221875,359.37498421717174,0,,0,95871.0,2013,9,6,1
2013-09-02,458792.960966,257.4595740549944,0,107.98,0,84388.0,2013,9,0,0
2013-09-03,397680.420032,223.1652188731762,0,108.67,0,79834.0,2013,9,1,0
2013-09-04,392565.48591,220.29488547138047,0,107.29,0,80360.0,2013,9,2,0
2013-09-05,330622.779063,185.53466838552188,0,108.5,0,74704.0,2013,9,3,0
2013-09-06,335442.247929,188.23919636868686,0,110.62,0,74579.0,2013,9,4,0
2013-09-07,518584.247,291.0124842873176,0,,0,95846.0,2013,9,5,1
2013-09-08,560852.005091,314.73176492199775,0,,0,94015.0,2013,9,6,1
2013-09-09,377151.7070027,211.64517789152637,0,109.62,0,77169.0,2013,9,0,0
2013-09-10,308074.4658225,172.8812939520202,0,107.48,0,72483.0,2013,9,1,0
2013-09-11,323124.61885,181.32694660493829,0,107.65,0,74287.0,2013,9,2,0
2013-09-12,282855.730937,158.72936640684625,0,108.72,0,68478.0,2013,9,3,0
2013-09-13,319556.942029,179.32488329349047,0,108.31,0,73019.0,2013,9,4,0
2013-09-14,476364.004996,267.3198681234568,0,,0,92336.0,2013,9,5,1
2013-09-15,532852.959041,299.0196178681257,0,,0,90410.0,2013,9,6,1
2013-09-16,373229.840879,209.444355150954,0,106.54,0,77189.0,2013,9,0,0
2013-09-17,327282.949966,183.6604657497194,0,105.36,0,72907.0,2013,9,1,0
2013-09-18,315687.718926,177.1536020909091,0,108.23,0,72512.0,2013,9,2,0
2013-09-19,279580.372008,156.8913423164983,0,106.26,0,67209.0,2013,9,3,0
2013-09-20,331846.9039701,186.22160716616162,0,104.7,0,74285.0,2013,9,4,0
2013-09-21,468298.380896,262.7937042065096,0,,0,91544.0,2013,9,5,1
2013-09-22,502068.7019007,281.74450162777777,0,,0,87513.0,2013,9,6,1
2013-09-23,356043.0340047,199.79968238198654,0,103.62,0,75213.0,2013,9,0,0
2013-09-24,303333.392926,170.22075921773288,0,103.22,0,70348.0,2013,9,1,0
2013-09-25,312490.104996,175.35920594612796,0,102.68,0,71613.0,2013,9,2,0
2013-09-26,273057.8798588,153.2311334785634,0,103.1,0,66914.0,2013,9,3,0
2013-09-27,320246.574024,179.71188216835014,0,102.86,0,72409.0,2013,9,4,0
2013-09-28,484903.6890081,272.1120589271044,0,,1,91304.0,2013,9,5,1
2013-09-29,522868.441946,293.4166340886644,0,,0,87268.0,2013,9,6,1
2013-09-30,367068.4500143,205.9867845198092,0,102.36,0,74455.0,2013,9,0,0
2013-10-01,436441.034076,244.9164052053872,0,102.09,0,80690.0,2013,10,1,0
2013-10-02,414455.6550375,232.57893099747477,0,104.15,0,80520.0,2013,10,2,0
2013-10-03,348933.24703,195.8099029349046,0,103.29,0,73793.0,2013,10,3,0
2013-10-04,378109.978059,212.18292820370368,0,103.83,0,78169.0,2013,10,4,0
2013-10-05,540156.625057,303.118195879349,0,,0,97345.0,2013,10,5,1
2013-10-06,553031.424016,310.3431111200898,0,,0,91143.0,2013,10,6,1
2013-10-07,373387.109043,209.5326088905724,0,103.07,1,77290.0,2013,10,0,0
2013-10-08,326726.7240121,183.34832997312012,0,103.54,0,73728.0,2013,10,1,0
2013-10-09,322529.418957,180.99293993097643,0,101.63,1,73206.0,2013,10,2,0
2013-10-10,305047.0980576,171.18243437575757,0,103.08,0,71249.0,2013,10,3,0
2013-10-11,402913.849028,226.10204771492707,0,102.17,1,80838.0,2013,10,4,0
2013-10-12,426379.6909939,239.2703091997194,0,,0,85003.0,2013,10,5,1
2013-10-13,481781.2559686,270.3598518342312,0,,0,83357.0,2013,10,6,1
2013-10-14,342694.7209944,192.30904657373736,0,102.46,0,72589.0,2013,10,0,0
2013-10-15,305242.569986,171.29212681593717,0,101.15,0,71021.0,2013,10,1,0
2013-10-16,355696.963943,199.60547920482605,0,102.34,0,73902.0,2013,10,2,0
2013-10-17,312949.412961,175.616954523569,0,100.72,0,70806.0,2013,10,3,0
2013-10-18,323327.873107,181.4410062328844,0,100.87,0,71837.0,2013,10,4,0
2013-10-19,488245.570001,273.9874130196409,0,,0,93205.0,2013,10,5,1
2013-10-20,537713.5090483,301.74719924147024,0,,0,91210.0,2013,10,6,1
2013-10-21,348721.327971,195.6909809040404,0,99.28,0,74337.0,2013,10,0,0
2013-10-22,301641.7850828,169.27148433378227,0,97.63,0,69581.0,2013,10,1,0
2013-10-23,323105.11598,181.31600223344557,0,96.9,0,71321.0,2013,10,2,0
2013-10-24,276059.0800025,154.9153086433782,0,96.65,0,67609.0,2013,10,3,0
2013-10-25,317570.4260338,178.2101156194164,0,97.4,0,72010.0,2013,10,4,0
2013-10-26,452902.363914,254.15396403703704,0,,0,89451.0,2013,10,5,1
2013-10-27,512891.4830689,287.81789173338944,0,,0,86852.0,2013,10,6,1
2013-10-28,346941.91396,194.69243207631874,0,98.74,0,73374.0,2013,10,0,0
2013-10-29,302332.9969864,169.65936980157127,0,98.29,0,69205.0,2013,10,1,0
2013-10-30,319494.7050373,179.28995793338945,0,96.81,0,72246.0,2013,10,2,0
2013-10-31,298195.433106,167.33750454882156,0,96.29,0,71553.0,2013,10,3,0
2013-11-01,403637.232955,226.50798706790124,0,94.56,0,79385.0,2013,11,4,0
2013-11-02,540615.555037,303.3757323439955,0,,1,93949.0,2013,11,5,1
2013-11-03,602796.556029,338.2696722946128,0,,1,91085.0,2013,11,6,1
2013-11-04,424314.167046,238.11120485185185,0,94.58,0,79630.0,2013,11,0,0
2013-11-05,393322.182909,220.71951902861954,0,93.4,0,76352.0,2013,11,1,0
2013-11-06,386426.9788195,216.85015646436588,0,94.74,1,76148.0,2013,11,2,0
2013-11-07,346293.3400477,194.32847365190796,0,94.25,1,70599.0,2013,11,3,0
2013-11-08,358473.978049,201.16384851234568,0,94.56,0,74646.0,2013,11,4,0
2013-11-09,513850.32307,288.35596131874297,0,,0,91367.0,2013,11,5,1
2013-11-10,587666.490239,329.77917521829403,0,,1,91689.0,2013,11,6,1
2013-11-11,374087.890067,209.92586423512907,0,95.13,1,75194.0,2013,11,0,0
2013-11-12,373277.748034,209.47123907631874,0,93.12,1,72225.0,2013,11,1,0
2013-11-13,332279.2568851,186.46422945291806,0,93.91,0,71600.0,2013,11,2,0
2013-11-14,284567.4029707,159.68990065695849,0,93.76,0,67268.0,2013,11,3,0
2013-11-15,349383.296052,196.06245569696972,0,93.8,0,74804.0,2013,11,4,0
2013-11-16,524065.5881155,294.0884332859147,0,,0,94069.0,2013,11,5,1
2013-11-17,579209.228924,325.0332373310887,0,,0,90357.0,2013,11,6,1
2013-11-18,391945.551999,219.9469988771044,0,93.03,0,76133.0,2013,11,0,0
2013-11-19,329455.2710234,184.87950113546577,0,93.35,0,71496.0,2013,11,1,0
2013-11-20,354337.734795,198.84272435185184,0,93.34,0,74998.0,2013,11,2,0
2013-11-21,298047.047965,167.25423567059482,0,95.35,0,69198.0,2013,11,3,0
2013-11-22,340734.213038,191.20887375869808,0,94.53,0,73466.0,2013,11,4,0
2013-11-23,485544.298837,272.47154816891134,0,,0,91187.0,2013,11,5,1
